wave-length (nm),A
843.757,0.2738
844.067,0.2802
844.378,0.2439
844.688,0.2627
844.999,0.2754
845.309,0.2721
845.619,0.2696
845.929,0.2738
846.24,0.2824
846.55,0.2725
846.86,0.2967
847.17,0.2701
847.48,0.2812
847.79,0.2797
848.1,0.2684
848.409,0.2523
848.719,0.2635
849.029,0.2446
849.338,0.2369
849.648,0.2658
849.958,0.2454
850.267,0.2495
850.577,0.2334
850.886,0.2784
851.195,0.2739
851.505,0.2577
851.814,0.2673
852.123,0.2464
852.432,0.2616
852.741,0.2521
853.05,0.2524
853.359,0.2876
853.668,0.3004
853.977,0.2865
854.286,0.2921
854.595,0.2688
854.903,0.2879
855.212,0.2706
855.521,0.249
855.829,0.2934
856.138,0.2729
856.446,0.2861
856.754,0.2914
857.063,0.2734
857.371,0.2513
857.679,0.2984
857.987,0.2894
858.296,0.2611
858.604,0.2795
858.912,0.2695
859.22,0.2576
859.527,0.2614
859.835,0.2959
860.143,0.2675
860.451,0.2515
860.759,0.2597
861.066,0.2514
861.374,0.2522
861.681,0.2545
861.989,0.2699
862.296,0.2718
862.604,0.271
862.911,0.2608
863.218,0.2663
863.526,0.2559
863.833,0.2662
864.14,0.2387
864.447,0.2878
864.754,0.2842
865.061,0.2663
865.368,0.2565
865.675,0.2815
865.981,0.2445
866.288,0.2852
866.595,0.2469
866.901,0.2677
867.208,0.2953
867.515,0.2563
867.821,0.2757
868.127,0.2614
868.434,0.2598
868.74,0.2646
869.046,0.2545
869.353,0.2584
869.659,0.2716
869.965,0.2879
870.271,0.2894
870.577,0.2394
870.883,0.2776
871.189,0.2714
871.495,0.2947
871.8,0.3036
872.106,0.2506
872.412,0.2632
872.717,0.2614
873.023,0.2367
873.329,0.2691
873.634,0.2784
873.939,0.264
874.245,0.2853
874.55,0.2473
874.855,0.2633
875.161,0.2738
875.466,0.2558
875.771,0.2704
876.076,0.2431
876.381,0.2577
876.686,0.2811
876.991,0.2748
877.295,0.2833
877.6,0.25
